Giver,Reciver,Interaction Coefficient,Sample,N Open
Meus,Meis,-1.377768292430857e-09,My_20,14
Meus,Brla,-1.4648236405337237e-05,My_20,14
Meus,Teas,-0.006539740899927661,My_20,14
Meus,Afia,0.00046043036594365787,My_20,14
Meus,Chae,-6.776703742718572e-06,My_20,14
Meus,Beae,-1.0081048126130943e-05,My_20,14
Meus,Deae,-1.7438794958985837e-08,My_20,14
Raer,Acer,0.0012614041430782316,My_20,14
Raer,Seum,-0.03859054010908306,My_20,14
Raer,Meus,-0.9498703649756733,My_20,14
Raer,Raer,0.0,My_20,14
Raer,Boea,-0.27506301370713404,My_20,14
Raer,Hyum,-0.0018207666199929686,My_20,14
Raer,Meis,0.03603947686988467,My_20,14
Raer,Brla,-0.39147510101872945,My_20,14
Raer,Teas,-0.7141725734008413,My_20,14
Raer,Afia,0.1614429247348848,My_20,14
Raer,Chae,-0.18191619505165832,My_20,14
Raer,Beae,-0.3348998461563059,My_20,14
Raer,Deae,-0.0019225568714565178,My_20,14
Boea,Acer,-0.0006378221892533981,My_20,14
Boea,Seum,-1.1616622023340352e-05,My_20,14
Boea,Meus,-0.9672666327618531,My_20,14
Boea,Raer,-0.00030035636874689933,My_20,14
Boea,Boea,0.0,My_20,14
Boea,Hyum,-1.457381057971732e-05,My_20,14
Boea,Meis,1.5829814764388421e-06,My_20,14
Boea,Brla,-0.0049390262033519655,My_20,14
Boea,Teas,-0.14894212334354023,My_20,14
Boea,Afia,0.012136005680879943,My_20,14
Boea,Chae,-0.004293713117918617,My_20,14
Boea,Beae,-0.003912772165338222,My_20,14
Boea,Deae,-6.0003255669735786e-06,My_20,14
Hyum,Acer,-0.9873401246950461,My_20,14
Hyum,Seum,-0.009963572707125206,My_20,14
Hyum,Meus,-0.9993828984904829,My_20,14
Hyum,Raer,-0.36328357082402407,My_20,14
Hyum,Boea,-0.9940892393780846,My_20,14
Hyum,Hyum,0.0,My_20,14
Hyum,Meis,0.1468229125582473,My_20,14
Hyum,Brla,-0.998097095805766,My_20,14
Hyum,Teas,0.23689217345183375,My_20,14
Hyum,Afia,-0.9410495831892831,My_20,14
Hyum,Chae,-0.9055988884620121,My_20,14
Hyum,Beae,-0.6694347364612119,My_20,14
Hyum,Deae,0.6537292326270233,My_20,14
Meis,Acer,-0.9920743949276788,My_20,14
Meis,Seum,0.8488081743775238,My_20,14
Meis,Meus,0.9545878256769843,My_20,14
Meis,Raer,0.9723928982411567,My_20,14
Meis,Boea,0.1908177347169974,My_20,14
Meis,Hyum,0.4661177093181985,My_20,14
Meis,Meis,0.0,My_20,14
Meis,Brla,-0.9765666795676291,My_20,14
Meis,Teas,0.7585835362947995,My_20,14
Meis,Afia,0.7198368071445653,My_20,14
Meis,Chae,-0.9928663033947813,My_20,14
Meis,Beae,-0.9980012263510007,My_20,14
Meis,Deae,0.34082839641135804,My_20,14
Brla,Acer,-0.02208745640128326,My_20,14
Brla,Seum,-1.7301619885415212e-07,My_20,14
Brla,Meus,-0.0032310515925331076,My_20,14
Brla,Raer,-0.004697647882805627,My_20,14
Brla,Boea,-0.08392530116566872,My_20,14
Brla,Hyum,-0.00017014320133474262,My_20,14
Brla,Meis,2.1216926248043474e-08,My_20,14
Brla,Brla,0.0,My_20,14
Brla,Teas,-1.4097203954753997e-05,My_20,14
Brla,Afia,-0.00014113097447455167,My_20,14
Brla,Chae,-0.00011162596586273098,My_20,14
Brla,Beae,-3.756540410595075e-05,My_20,14
Brla,Deae,0.00011275702671817725,My_20,14
Teas,Acer,0.00625267757649361,My_20,14
Teas,Seum,0.0037502478098848852,My_20,14
Teas,Meus,-0.9935045905210103,My_20,14
Teas,Raer,-0.18755085454787282,My_20,14
Teas,Boea,-0.43552062512052464,My_20,14
Teas,Hyum,-0.006175085557560726,My_20,14
Teas,Meis,0.006091627289298133,My_20,14
Teas,Brla,0.0058591382822259334,My_20,14
Teas,Teas,0.0,My_20,14
Teas,Afia,-0.8336864838141339,My_20,14
Teas,Chae,-0.36737230558055123,My_20,14
Teas,Beae,0.006136903460548032,My_20,14
Teas,Deae,0.0007215367599628012,My_20,14
Afia,Acer,0.0002945459534244852,My_20,14
Afia,Seum,0.0005212935630592508,My_20,14
Afia,Meus,-0.03833424048733505,My_20,14
Afia,Raer,-0.008445232421904135,My_20,14
Afia,Boea,-0.0008075099383825165,My_20,14
Afia,Hyum,-5.238803441378869e-06,My_20,14
Afia,Meis,-0.000725778354301498,My_20,14
Afia,Brla,-0.43381961460417323,My_20,14
Afia,Teas,0.0017695769872330912,My_20,14
Afia,Afia,0.0,My_20,14
Afia,Chae,-0.24465245947144987,My_20,14
Afia,Beae,-0.4397546907977183,My_20,14
Afia,Deae,-2.380647876565207e-06,My_20,14
Chae,Acer,0.0003803889392024065,My_20,14
Chae,Seum,0.0018033438416775694,My_20,14
Chae,Meus,-0.8309535677835963,My_20,14
Chae,Raer,-0.021412781868419727,My_20,14
Chae,Boea,0.0004927224863684875,My_20,14
Chae,Hyum,-0.0005934278720855942,My_20,14
Chae,Meis,-2.0727559465364934e-08,My_20,14
Chae,Brla,-0.6643167162964798,My_20,14
Chae,Teas,0.0027547132661336635,My_20,14
Chae,Afia,-0.5864815314339791,My_20,14
Chae,Chae,0.0,My_20,14
Chae,Beae,-0.6701309726575022,My_20,14
Chae,Deae,-0.001036497133118406,My_20,14
Beae,Acer,-0.03517740346307279,My_20,14
Beae,Seum,-2.876789388466063e-07,My_20,14
